TEXT	A1	A2	GOLD
Mostrava di darle molta udienza, e, ogni tanto, per far vedere che stava attenta, o per ravviare il cicalìo, diceva: «sicuro: adesso capisco: va benissimo: è chiara: e poi? e lui? e voi?»	ADMIRATION,CURIOSITY	CURIOSITY	CARING,CURIOSITY
Ma intanto, faceva un altro discorso con sé stessa.	NEUTRAL	NEUTRAL	NEUTRAL
– Saranno usciti a quest'ora? o saranno ancor dentro?	NERVOUSNESS,CURIOSITY	NERVOUSNESS	NERVOUSNESS,CURIOSITY
Che sciocchi che siamo stati tutt'e tre, a non concertar qualche segnale, per avvisarmi, quando la cosa fosse riuscita!	ANNOYANCE,DISAPPROVAL	DISAPPROVAL	DISAPPROVAL
È stata proprio grossa!	DISAPPROVAL	DISAPPROVAL	DISAPPROVAL
Ma è fatta: ora non c'è altro che tener costei a bada, più che posso: alla peggio, sarà un po' di tempo perduto. –	DISAPPOINTMENT,OPTIMISM	NEUTRAL	OPTIMISM
Così, a corserelle e a fermatine, eran tornate poco distante dalla casa di don Abbondio, la quale però non vedevano, per ragione di quella cantonata: e Perpetua, trovandosi a un punto importante del racconto, s'era lasciata fermare senza far resistenza, anzi senza avvedersene; quando, tutt'a un tratto, si sentì venir rimbombando dall'alto, nel vano immoto dell'aria, per l'ampio silenzio della notte, quel primo sgangherato grido di don Abbondio: «aiuto! aiuto!»	NEUTRAL,FEAR,SURPRISE	NEUTRAL,FEAR	NEUTRAL,FEAR,SURPRISE
«Misericordia! cos'è stato?» gridò Perpetua, e volle correre.	SURPRISE,FEAR,NERVOUSNESS	SURPRISE,FEAR	SURPRISE,FEAR
«Cosa c'è? cosa c'è?» disse Agnese, tenendola per la sottana.	CURIOSITY,NERVOUSNESS	SURPRISE,FEAR	CURIOSITY,NERVOUSNESS
«Misericordia! non avete sentito?» replicò quella, svincolandosi.	FEAR,SURPRISE	FEAR	ANNOYANCE
«Cosa c'è? cosa c'è?» ripeté Agnese, afferrandola per un braccio.	CURIOSITY,NERVOUSNESS	FEAR,SURPRISE	CURIOSITY,NERVOUSNESS
«Diavolo d'una donna!» esclamò Perpetua, rispingendola, per mettersi in libertà; e prese la rincorsa.	ANGER	ANGER	ANGER
Quando, più lontano, più acuto, più istantaneo, si sente l'urlo di Menico.	SURPRISE,FEAR	FEAR	FEAR
«Misericordia!» grida anche Agnese; e di galoppo dietro l'altra.	FEAR	FEAR	FEAR
Avevan quasi appena alzati i calcagni, quando scoccò la campana: un tocco, e due, e tre, e seguita: sarebbero stati sproni, se quelle ne avessero avuto bisogno.	SURPRISE,NERVOUSNESS	FEAR	NERVOUSNESS,SURPRISE
Perpetua arriva, un momento prima dell'altra; mentre vuole spinger l'uscio, l'uscio si spalanca di dentro, e sulla soglia compariscono Tonio, Gervaso, Renzo, Lucia, che, trovata la scala, eran venuti giù saltelloni; e, sentendo poi quel terribile scampanìo, correvano in furia, a mettersi in salvo.	SURPRISE,CONFUSION,FEAR	FEAR	SURPRISE,FEAR
«Cosa c'è? cosa c'è?» domandò Perpetua ansante ai fratelli, che le risposero con un urtone, e scantonarono.	NERVOUSNESS,CURIOSITY	FEAR	CURIOSITY,NERVOUSNESS
«E voi! come! che fate qui voi?» domandò poscia all'altra coppia, quando l'ebbe raffigurata.	SURPRISE,ANGER	SURPRISE	SURPRISE,ANGER
Ma quelli pure usciron senza rispondere.	NEUTRAL	NEUTRAL	NEUTRAL
Perpetua, per accorrere dove il bisogno era maggiore, non domandò altro, entrò in fretta nell'andito, e corse, come poteva al buio, verso la scala.	NEUTRAL,NERVOUSNESS	NEUTRAL	NERVOUSNESS
I due sposi rimasti promessi si trovarono in faccia Agnese, che arrivava tutt'affannata.	NEUTRAL	FEAR	NERVOUSNESS
«Ah siete qui!» disse questa, cavando fuori la parola a stento: «com'è andata? cos'è la campana? mi par d'aver sentito…»	SURPRISE,CURIOSITY,CONFUSION	FEAR,CURIOSITY	SURPRISE,CURIOSITY
«A casa, a casa,» diceva Renzo, «prima che venga gente.»	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
E s'avviavano; ma arriva Menico di corsa, li riconosce, li ferma, e, ancor tutto tremante, con voce mezza fioca, dice: «dove andate? indietro, indietro! per di qua, al convento!»	FEAR,NERVOUSNESS	FEAR,NERVOUSNESS	FEAR,NERVOUSNESS
«Sei tu che…?» cominciava Agnese.	CONFUSION	CURIOSITY	CONFUSION,CURIOSITY
«Cosa c'è d'altro?» domandava Renzo.	ANNOYANCE	CURIOSITY,NERVOUSNESS	ANNOYANCE
Lucia, tutta smarrita, taceva e tremava.	CONFUSION,FEAR	CONFUSION,FEAR	CONFUSION,FEAR
«C'è il diavolo in casa,» riprese Menico ansante.	FEAR,NERVOUSNESS	FEAR	FEAR
«Gli ho visti io: m'hanno voluto ammazzare: l'ha detto il padre Cristoforo: e anche voi, Renzo, ha detto che veniate subito: e poi gli ho visti io: provvidenza che vi trovo qui tutti! vi dirò poi, quando saremo fuori.»	FEAR,CONFUSION,NERVOUSNESS	RELIEF,FEAR	CONFUSION,FEAR,RELIEF
Renzo, ch'era il più in sé di tutti, pensò che, di qua o di là, conveniva andar subito, prima che la gente accorresse; e che la più sicura era di far ciò che Menico consigliava, anzi comandava, con la forza d'uno spaventato.	NEUTRAL,REALIZATION	FEAR	FEAR,REALIZATION
Per istrada poi, e fuor del pericolo, si potrebbe domandare al ragazzo una spiegazione più chiara.	NEUTRAL,REALIZATION	NEUTRAL	NEUTRAL
«Cammina avanti,» gli disse.	NEUTRAL,RELIEF	NEUTRAL	NEUTRAL
«Andiam con lui,» disse alle donne.	NEUTRAL,RELIEF	NEUTRAL	NEUTRAL
Voltarono, s'incamminarono in fretta verso la chiesa, attraversaron la piazza, dove per grazia del cielo, non c'era ancora anima vivente; entrarono in una stradetta che era tra la chiesa e la casa di don Abbondio; al primo buco che videro in una siepe, dentro, e via per i campi.	NEUTRAL	NEUTRAL	NEUTRAL
Non s'eran forse allontanati un cinquanta passi, quando la gente cominciò ad accorrere sulla piazza, e ingrossava ogni momento.	NEUTRAL	NEUTRAL	NEUTRAL
Si guardavano in viso gli uni con gli altri: ognuno aveva una domanda da fare, nessuno una risposta da dare.	CONFUSION	NERVOUSNESS	CONFUSION,NERVOUSNESS
I primi arrivati corsero alla porta della chiesa: era serrata.	NEUTRAL,SURPRISE	NERVOUSNESS	NERVOUSNESS
Corsero al campanile di fuori; e uno di quelli, messa la bocca a un finestrino, una specie di feritoia, cacciò dentro un: «che diavolo c'è?»	NEUTRAL,ANNOYANCE	NERVOUSNESS	ANNOYANCE
Quando Ambrogio sentì una voce conosciuta, lasciò andar la corda; e assicurato dal ronzìo, ch'era accorso molto popolo, rispose: «vengo ad aprire».	NEUTRAL,RELIEF	RELIEF	RELIEF
Si mise in fretta l'arnese che aveva portato sotto il braccio, venne, dalla parte di dentro, alla porta della chiesa, e l'aprì.	NEUTRAL	NERVOUSNESS	NEUTRAL
«Cos'è tutto questo fracasso?	ANNOYANCE,CURIOSITY	ANNOYANCE,CURIOSITY	ANNOYANCE,CURIOSITY
– Cos'è?	CURIOSITY	CURIOSITY	CURIOSITY
– Dov'è?	CURIOSITY	CURIOSITY	CURIOSITY
– Chi è?»	CURIOSITY	CURIOSITY	CURIOSITY
«Come, chi è?» disse Ambrogio, tenendo con una mano un battente della porta, e, con l'altra, il lembo di quel tale arnese, che s'era messo così in fretta: «come! non lo sapete? gente in casa del signor curato.	ANNOYANCE,SURPRISE	SURPRISE	ANNOYANCE,SURPRISE
Animo, figliuoli: aiuto.»	NEUTRAL,CARING	NERVOUSNESS,CARING	NERVOUSNESS,CARING
Si voltan tutti a quella casa, vi s'avvicinano in folla, guardano in su, stanno in orecchi: tutto quieto.	NEUTRAL,NERVOUSNESS,SURPRISE	NERVOUSNESS	NERVOUSNESS
Altri corrono dalla parte dove c'era l'uscio: è chiuso, e non par che sia stato toccato.	NEUTRAL,NERVOUSNESS,SURPRISE	NERVOUSNESS	NERVOUSNESS
Guardano in su anche loro: non c'è una finestra aperta: non si sente uno zitto.	NEUTRAL,NERVOUSNESS,SURPRISE	NERVOUSNESS	NERVOUSNESS
«Chi è là dentro?	NERVOUSNESS,CURIOSITY	NERVOUSNESS,CURIOSITY	NERVOUSNESS,CURIOSITY
– Ohe, ohe!	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
– Signor curato!	NERVOUSNESS,CARING	NERVOUSNESS	NERVOUSNESS
– Signor curato!»	NERVOUSNESS,CARING	NERVOUSNESS	NERVOUSNESS
Don Abbondio, il quale, appena accortosi della fuga degl'invasori, s'era ritirato dalla finestra, e l'aveva richiusa, e che in questo momento stava a bisticciar sottovoce con Perpetua, che l'aveva lasciato solo in quell'imbroglio, dovette, quando si sentì chiamare a voce di popolo, venir di nuovo alla finestra; e visto quel gran soccorso, si pentì d'averlo chiesto.	ANNOYANCE,REMORSE	REMORSE	ANNOYANCE,REMORSE
«Cos'è stato?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
– Che le hanno fatto?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
– Chi sono costoro?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
– Dove sono?» gli veniva gridato da cinquanta voci a un tratto.	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
«Non c'è più nessuno: vi ringrazio: tornate pure a casa.»	RELIEF,GRATITUDE	GRATITUDE	RELIEF,GRATITUDE
«Ma chi è stato?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
– Dove sono andati?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
– Che è accaduto?»	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
«Cattiva gente, gente che gira di notte; ma sono fuggiti: tornate a casa; non c'è più niente: un'altra volta, figliuoli: vi ringrazio del vostro buon cuore.»	DISAPPROVAL,RELIEF,GRATITUDE	GRATITUDE,ANNOYANCE,RELIEF	DISAPPROVAL,RELIEF,GRATITUDE
E, detto questo, si ritirò, e chiuse la finestra.	NEUTRAL	NEUTRAL	NEUTRAL
Qui alcuni cominciarono a brontolare, altri a canzonare, altri a sagrare; altri si stringevan nelle spalle, e se n'andavano: quando arriva uno tutto trafelato, che stentava a formar le parole.	ANNOYANCE,FEAR	CONFUSION	ANNOYANCE,FEAR
Stava costui di casa quasi dirimpetto alle nostre donne, ed essendosi, al rumore, affacciato alla finestra, aveva veduto nel cortiletto quello scompiglio de' bravi, quando il Griso s'affannava a raccoglierli.	NEUTRAL,CONFUSION	NEUTRAL	NEUTRAL
Quand'ebbe ripreso fiato, gridò: «che fate qui, figliuoli? non è qui il diavolo; è giù in fondo alla strada, alla casa d'Agnese Mondella: gente armata; son dentro; par che vogliano ammazzare un pellegrino; chi sa che diavolo c'è!»	FEAR,DISAPPROVAL	FEAR	FEAR,DISAPPROVAL
«Che?	SURPRISE,CONFUSION	SURPRISE	SURPRISE
– Che?	SURPRISE,CONFUSION	SURPRISE	SURPRISE
– Che?»	SURPRISE,CONFUSION	SURPRISE	SURPRISE
E comincia una consulta tumultuosa.	CONFUSION,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
«Bisogna andare.	NERVOUSNESS,CARING	NERVOUSNESS,CARING	NERVOUSNESS,CARING
– Bisogna vedere.	NERVOUSNESS,CARING	NERVOUSNESS,CARING	NERVOUSNESS,CARING
– Quanti sono?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY
– Quanti siamo?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY
– Chi sono?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY
– Il console! il console!»	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
«Son qui,» risponde il console, di mezzo alla folla: «son qui; ma bisogna aiutarmi, bisogna ubbidire.	RELIEF,NERVOUSNESS	NERVOUSNESS	RELIEF,NERVOUSNESS
Presto: dov'è il sagrestano?	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Alla campana, alla campana.	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Presto: uno che corra a Lecco a cercar soccorso: venite qui tutti…»	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Chi accorre, chi sguizza tra uomo e uomo, e se la batte; il tumulto era grande, quando arriva un altro, che gli aveva veduti partire in fretta, e grida: «correte, figliuoli: ladri, o banditi che scappano con un pellegrino: son già fuori del paese: addosso! addosso!»	CONFUSION,SURPRISE,ANGER	NERVOUSNESS,CONFUSION	ANGER,CONFUSION
A quest'avviso, senza aspettar gli ordini del capitano, si movono in massa, e giù alla rinfusa per la strada; di mano in mano che l'esercito s'avanza, qualcheduno di quei della vanguardia rallenta il passo, si lascia sopravanzare, e si ficca nel corpo della battaglia: gli ultimi spingono innanzi: lo sciame confuso giunge finalmente al luogo indicato.	CONFUSION,ANGER	CONFUSION	ANGER,CONFUSION
Le tracce dell'invasione eran fresche e manifeste: l'uscio spalancato, la serratura sconficcata; ma gl'invasori erano spariti.	DISAPPOINTMENT,SURPRISE	NEUTRAL	SURPRISE
S'entra nel cortile; si va all'uscio del terreno: aperto e sconficcato anche quello: si chiama: «Agnese!	SURPRISE,NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Lucia!	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Il pellegrino!	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Dov'è il pellegrino?	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS	CURIOSITY,NERVOUSNESS
L'avrà sognato Stefano, il pellegrino.	ANNOYANCE	DISAPPROVAL	DISAPPROVAL
– No, no: l'ha visto anche Carlandrea.	RELIEF	NEUTRAL	NEUTRAL
Ohe, pellegrino!	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
– Agnese!	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Lucia!»	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Nessuno risponde.	NEUTRAL,DISAPPOINTMENT	NEUTRAL	NEUTRAL
«Le hanno portate via!	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Le hanno portate via!»	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Ci fu allora di quelli che, alzando la voce, proposero d'inseguire i rapitori: che era un'infamità; e sarebbe una vergogna per il paese, se ogni birbone potesse a man salva venire a portar via le donne, come il nibbio i pulcini da un'aia deserta.	ANGER	ANGER	ANGER
Nuova consulta e più tumultuosa; ma uno (e non si seppe mai bene chi fosse stato) gettò nella brigata una voce, che Agnese e Lucia s'eran messe in salvo in una casa.	CONFUSION,RELIEF	NERVOUSNESS	CONFUSION,RELIEF
La voce corse rapidamente, ottenne credenza; non si parlò più di dar la caccia ai fuggitivi; e la brigata si sparpagliò, andando ognuno a casa sua.	NEUTRAL,RELIEF	RELIEF	RELIEF
Era un bisbiglìo, uno strepito, un picchiare e un aprir d'usci, un apparire e uno sparir di lucerne, un interrogare di donne dalle finestre, un rispondere dalla strada.	CONFUSION	CONFUSION	CONFUSION,CURIOSITY
Tornata questa deserta e silenziosa, i discorsi continuaron nelle case, e moriron negli sbadigli, per ricominciar poi la mattina.	NEUTRAL	NEUTRAL	NEUTRAL
Fatti però, non ce ne fu altri; se non che, quella medesima mattina, il console, stando nel suo campo, col mento in una mano, e il gomito appoggiato sul manico della vanga mezza ficcata nel terreno, e con un piede sul vangile; stando, dico, a speculare tra sé sui misteri della notte passata, e sulla ragion composta di ciò che gli toccasse a fare, e di ciò che gli convenisse fare, vide venirsi incontro due uomini d'assai gagliarda presenza, chiomati come due re de' Franchi della prima razza, e somigliantissimi nel resto a que' due che cinque giorni prima avevano affrontato don Abbondio, se pur non eran que' medesimi.	NEUTRAL,SURPRISE	NEUTRAL	NEUTRAL
Costoro, con un fare ancor men cerimonioso, intimarono al console che guardasse bene di non far deposizione al podestà dell'accaduto, di non rispondere il vero, caso che ne venisse interrogato, di non ciarlare, di non fomentar le ciarle de' villani, per quanto aveva cara la speranza di morir di malattia.	ANGER	FEAR	ANGER,FEAR
I nostri fuggiaschi camminarono un pezzo di buon trotto, in silenzio, voltandosi, ora l'uno ora l'altro, a guardare se nessuno gl'inseguiva, tutti in affanno per la fatica della fuga, per il batticuore e per la sospensione in cui erano stati, per il dolore della cattiva riuscita, per l'apprensione confusa del nuovo oscuro pericolo.	FEAR,NERVOUSNESS	FEAR	FEAR,NERVOUSNESS
E ancor più in affanno li teneva l'incalzare continuo di que' rintocchi, i quali, quanto, per l'allontanarsi, venivan più fiochi e ottusi, tanto pareva che prendessero un non so che di più lugubre e sinistro.	NERVOUSNESS,FEAR	FEAR	FEAR,NERVOUSNESS
Finalmente cessarono.	RELIEF	RELIEF	RELIEF
I fuggiaschi allora, trovandosi in un campo disabitato, e non sentendo un alito all'intorno, rallentarono il passo; e fu la prima Agnese che, ripreso fiato, ruppe il silenzio, domandando a Renzo com'era andata, domandando a Menico cosa fosse quel diavolo in casa.	NEUTRAL,CURIOSITY,NERVOUSNESS	CURIOSITY	CURIOSITY,RELIEF
Renzo raccontò brevemente la sua trista storia; e tutt'e tre si voltarono al fanciullo, il quale riferì più espressamente l'avviso del padre, e raccontò quello ch'egli stesso aveva veduto e rischiato, e che pur troppo confermava l'avviso.	SADNESS,FEAR	NEUTRAL	SADNESS,FEAR
Gli ascoltatori compresero più di quel che Menico avesse saputo dire: a quella scoperta, si sentiron rabbrividire; si fermaron tutt'e tre a un tratto, si guardarono in viso l'un con l'altro, spaventati; e subito, con un movimento unanime, tutt'e tre posero una mano, chi sul capo, chi sulle spalle del ragazzo, come per accarezzarlo, per ringraziarlo tacitamente che fosse stato per loro un angelo tutelare, per dimostrargli la compassione che sentivano dell'angoscia da lui sofferta, e del pericolo corso per la loro salvezza; e quasi per chiedergliene scusa.	FEAR,GRATITUDE,CARING	FEAR,GRATITUDE	FEAR,GRATITUDE,CARING
«Ora torna a casa, perché i tuoi non abbiano a star più in pena per te,» gli disse Agnese; e rammentandosi delle due parpagliole promesse, se ne levò quattro di tasca, e gliele diede, aggiungendo: «basta; prega il Signore che ci rivediamo presto: e allora…»	CARING,NERVOUSNESS,DESIRE	GRATITUDE	CARING,DESIRE
Renzo gli diede una berlinga nuova, e gli raccomandò molto di non dir nulla della commissione avuta dal frate; Lucia l'accarezzò di nuovo, lo salutò con voce accorata; il ragazzo li salutò tutti, intenerito; e tornò indietro.	GRATITUDE,CARING	GRATITUDE	CARING
Quelli ripresero la loro strada, tutti pensierosi; le donne innanzi, e Renzo dietro, come per guardia.	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Lucia stava stretta al braccio della madre, e scansava dolcemente, e con destrezza, l'aiuto che il giovine le offriva ne' passi malagevoli di quel viaggio fuor di strada; vergognosa in sé, anche in un tale turbamento, d'esser già stata tanto sola con lui, e tanto famigliarmente, quando s'aspettava di divenir sua moglie, tra pochi momenti.	EMBARRASSMENT,REMORSE,DISAPPOINTMENT	EMBARRASSMENT	EMBARRASSMENT,REMORSE
Ora, svanito così dolorosamente quel sogno, si pentiva d'essere andata troppo avanti, e, tra tante cagioni di tremare, tremava anche per quel pudore che non nasce dalla trista scienza del male, per quel pudore che ignora sé stesso, somigliante alla paura del fanciullo, che trema nelle tenebre, senza saper di che.	REMORSE,FEAR	REMORSE,EMBARRASSMENT	EMBARRASSMENT,REMORSE
«E la casa?» disse a un tratto Agnese.	NERVOUSNESS	FEAR	NERVOUSNESS
Ma per quanto la domanda fosse importante, nessuno rispose, perché nessuno poteva darle una risposta soddisfacente.	NEUTRAL	NEUTRAL	NEUTRAL
Continuarono in silenzio la loro strada, e poco dopo, sboccarono finalmente sulla piazzetta davanti alla chiesa del convento.	NEUTRAL	RELIEF	RELIEF
Renzo s'affacciò alla porta, e la sospinse bel bello.	NEUTRAL	NEUTRAL	NEUTRAL
La porta di fatto s'aprì; e la luna, entrando per lo spiraglio, illuminò la faccia pallida, e la barba d'argento del padre Cristoforo, che stava quivi ritto in aspettativa.	NEUTRAL,NERVOUSNESS	NERVOUSNESS	NEUTRAL,NERVOUSNESS
Visto che non ci mancava nessuno, «Dio sia benedetto!» disse, e fece lor cenno ch'entrassero.	JOY,GRATITUDE	RELIEF,JOY	RELIEF,JOY
Accanto a lui, stava un altro cappuccino; ed era il laico sagrestano, ch'egli, con preghiere e con ragioni, aveva persuaso a vegliar con lui, a lasciar socchiusa la porta, e a starci in sentinella, per accogliere que' poveri minacciati: e non si richiedeva meno dell'autorità del padre, e della sua fama di santo, per ottener dal laico una condiscendenza incomoda, pericolosa e irregolare.	NEUTRAL,CARING,FEAR	NEUTRAL	NEUTRAL,CARING,ADMIRATION
Entrati che furono, il padre Cristoforo riaccostò la porta adagio adagio.	NEUTRAL	NEUTRAL	NEUTRAL
Allora il sagrestano non poté più reggere, e, chiamato il padre da una parte, gli andava susurrando all'orecchio: «ma padre, padre! di notte… in chiesa… con donne… chiudere… la regola… ma padre!»	DISAPPROVAL,NERVOUSNESS	DISAPPROVAL,EMBARRASSMENT	DISAPPROVAL,NERVOUSNESS,EMBARRASSMENT
E tentennava la testa.	DISAPPROVAL	DISAPPROVAL	DISAPPROVAL
Mentre diceva stentatamente quelle parole,– vedete un poco!– pensava il padre Cristoforo,– se fosse un masnadiero inseguito, fra Fazio non gli farebbe una difficoltà al mondo; e una povera innocente, che scappa dagli artigli del lupo…–	ANNOYANCE	DISAPPROVAL	DISAPPROVAL
«Omnia munda mundis,» disse poi, voltandosi tutt'a un tratto a fra Fazio, e dimenticando che questo non intendeva il latino.	RELIEF,NEUTRAL	DISAPPROVAL	DISAPPROVAL
Ma una tale dimenticanza fu appunto quella che fece l'effetto.	NEUTRAL	NEUTRAL	NEUTRAL
Se il padre si fosse messo a questionare con ragioni, a fra Fazio non sarebber mancate altre ragioni da opporre; e sa il cielo quando e come la cosa sarebbe finita.	NEUTRAL	NEUTRAL	NEUTRAL
Ma, al sentir quelle parole gravide d'un senso misterioso, e proferite così risolutamente, gli parve che in quelle dovesse contenersi la soluzione di tutti i suoi dubbi.	RELIEF,REALIZATION	RELIEF	REALIZATION
S'acquietò, e disse: «basta! lei ne sa più di me».	RELIEF,REALIZATION	ADMIRATION	ADMIRATION,RELIEF
«Fidatevi pure,» rispose il padre Cristoforo; e, all'incerto chiarore della lampada che ardeva davanti all'altare, s'accostò ai ricoverati, i quali stavano sospesi aspettando, e disse loro: «figliuoli! ringraziate il Signore, che v'ha scampati da un gran pericolo.	RELIEF,NERVOUSNESS,GRATITUDE	GRATITUDE	GRATITUDE,NERVOUSNESS
Forse in questo momento…!»	FEAR	SADNESS	FEAR
E qui si mise a spiegare ciò che aveva fatto accennare dal piccol messo: giacché non sospettava ch'essi ne sapesser più di lui, e supponeva che Menico gli avesse trovati tranquilli in casa, prima che arrivassero i malandrini.	NEUTRAL	NEUTRAL	NEUTRAL
Nessuno lo disingannò, nemmeno Lucia, la quale però sentiva un rimorso segreto d'una tale dissimulazione, con un tal uomo; ma era la notte degl'imbrogli e de' sotterfugi.	REMORSE	REMORSE	REMORSE
«Dopo di ciò,» continuò egli, «vedete bene, figliuoli, che ora questo paese non è sicuro per voi.	NEUTRAL,NERVOUSNESS	NEUTRAL	NEUTRAL
È il vostro; ci siete nati; non avete fatto male a nessuno; ma Dio vuol così.	NEUTRAL	DISAPPOINTMENT	DISAPPOINTMENT
È una prova, figliuoli: sopportatela con pazienza, con fiducia, senza odio, e siate sicuri che verrà un tempo in cui vi troverete contenti di ciò che ora accade.	NEUTRAL,OPTIMISM	OPTIMISM	OPTIMISM
Io ho pensato a trovarvi un rifugio, per questi primi momenti.	CARING	NEUTRAL	CARING
Presto, io spero, potrete ritornar sicuri a casa vostra; a ogni modo, Dio vi provvederà, per il vostro meglio; e io certo mi studierò di non mancare alla grazia che mi fa, scegliendomi per suo ministro, nel servizio di voi suoi poveri cari tribolati.	OPTIMISM,CARING	OPTIMISM	OPTIMISM,CARING
Voi,» continuò volgendosi alle due donne, «potrete fermarvi a***.	NEUTRAL	NEUTRAL	NEUTRAL
Là sarete abbastanza fuori d'ogni pericolo e, nello stesso tempo, non troppo lontane da casa vostra.	RELIEF,CARING	NEUTRAL	CARING
Cercate del nostro convento, fate chiamare il padre guardiano, dategli questa lettera: sarà per voi un altro fra Cristoforo.	NEUTRAL,CARING,RELIEF	NEUTRAL	CARING
E anche tu, il mio Renzo, anche tu devi metterti, per ora, in salvo dalla rabbia degli altri, e dalla tua.	CARING	NEUTRAL	CARING
Porta questa lettera al padre Bonaventura da Lodi, nel nostro convento di Porta Orientale in Milano.	NEUTRAL	NEUTRAL	NEUTRAL
Egli ti farà da padre, ti guiderà, ti troverà del lavoro, per fin che tu non possa tornare a viver qui tranquillamente.	RELIEF,OPTIMISM	NEUTRAL	OPTIMISM,CARING
Andate alla riva del lago, vicino allo sbocco del Bione.»	NEUTRAL	NEUTRAL	NEUTRAL
È un torrente a pochi passi da Pescarenico.	NEUTRAL	NEUTRAL	NEUTRAL
«Lì vedrete un battello fermo; direte: barca; vi sarà domandato per chi; rispondete: san Francesco.	NEUTRAL	NEUTRAL	NEUTRAL
La barca vi riceverà, vi trasporterà all'altra riva, dove troverete un baroccio che vi condurrà addirittura fino a***».	NEUTRAL	NEUTRAL	NEUTRAL
Chi domandasse come fra Cristoforo avesse così subito a sua disposizione que'mezzi di trasporto, per acqua e per terra, farebbe vedere di non conoscere qual fosse il potere d'un cappuccino tenuto in concetto di santo.	NEUTRAL	NEUTRAL	NEUTRAL,ADMIRATION
Restava da pensare alla custodia delle case.	NEUTRAL	NEUTRAL	NEUTRAL
Il padre ne ricevette le chiavi, incaricandosi di consegnarle a quelli che Renzo e Agnese gl'indicarono.	NEUTRAL	NEUTRAL	NEUTRAL
Quest'ultima, levandosi di tasca la sua, mise un gran sospiro, pensando che, in quel momento, la casa era aperta, che c'era stato il diavolo, e chi sa cosa ci rimaneva da custodire!	SADNESS,NERVOUSNESS	SADNESS	SADNESS,NERVOUSNESS
«Prima che partiate,» disse il padre, «preghiamo tutti insieme il Signore, perché sia con voi, in codesto viaggio, e sempre; e sopra tutto vi dia forza, vi dia amore di volere ciò ch'Egli ha voluto.»	NEUTRAL,DESIRE	GRATITUDE	DESIRE
Così dicendo s'inginocchiò nel mezzo della chiesa; e tutti fecer lo stesso.	NEUTRAL	NEUTRAL	NEUTRAL
Dopo ch'ebbero pregato, alcuni momenti, in silenzio, il padre, con voce sommessa, ma distinta, articolò queste parole: «noi vi preghiamo ancora per quel poveretto che ci ha condotti a questo passo.	NEUTRAL,CARING,DISAPPROVAL	NEUTRAL	NEUTRAL,CARING,DISAPPROVAL
Noi saremmo indegni della vostra misericordia, se non ve la chiedessimo di cuore per lui; ne ha tanto bisogno!	DESIRE,CARING	GRATITUDE	DESIRE,CARING
Noi, nella nostra tribolazione, abbiamo questo conforto, che siamo nella strada dove ci avete messi Voi: possiamo offrirvi i nostri guai; e diventano un guadagno.	GRATITUDE	GRATITUDE	GRATITUDE
Ma lui!… è vostro nemico.	DISAPPROVAL	DISAPPROVAL	DISAPPROVAL
Oh disgraziato! compete con Voi!	DISAPPROVAL,ANGER	DISAPPROVAL	DISAPPROVAL
Abbiate pietà di lui, o Signore, toccategli il cuore, rendetelo vostro amico, concedetegli tutti i beni che noi possiamo desiderare a noi stessi.»	DESIRE,CARING	OPTIMISM	DESIRE,CARING
